type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Front Hood,1169,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Rear Fender,1167,Designer Added Icon 1,,1272.6532110333249,104.50775012955901,24,9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Rear Fender,1166,Designer Added Icon 1,,1058.957788966675,104.50775012955901,24,-9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Side Cover,1161,Designer Added Icon 1,,724.8668510943791,-358.43327041812864,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Left Side Cover,1161,User Number,,715.4064231013194,111.0404687374527,,0,6,White,,,,,,,,,,,,1,left,187,Bold Italic 11,1,,,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Side Cover,1160,Designer Added Icon 1,,460.87714890562086,-358.43327041812864,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
"Scrambler 500 4x4 2000-2002,2008-2009",,Right Side Cover,1160,User Number,,470.3375768986805,111.0404687374527,,0,6,White,,,,,,,,,,,,1,left,187,Bold Italic 11,1,,,,
