type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
400 DVX (Red) 2006,,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Front Hood,815,User Name,,370.8394282689329,436.5810481396508,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
400 DVX (Red) 2006,,Front Hood,815,User Number,,377.65826648208423,526.6081494004462,,0,6,Black,,,,,,,,,,,,1,left,163,Bold Italic 06,1,,,,
400 DVX (Red) 2006,,Front Hood,815,User Flag,,282.06904874694834,359.0885075456098,0.7,0,9,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
400 DVX (Red) 2006,,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,40,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
400 DVX (Red) 2006,,Left Tank,817,Designer Added Icon 1,,1923.367337103969,222.19624736263177,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,,Right Tank,816,Designer Added Icon 1,,55.57366289603101,222.19624736263177,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,1,,
400 DVX (Red) 2006,,Left Front Fender,819,Designer Added Icon 1,,244.33741808528754,532.138724326102,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,,Right Front Fender,818,Designer Added Icon 1,,368.8535819147125,532.138724326102,7.551644491664589,0,5,Lawn Green,8462,,,,,,,,,,,,,,,,,1,,
400 DVX (Red) 2006,,Front Hood,815,Designer Added Icon 1,,369.77987143109306,440.6225274185608,10.03552598888612,0,11,Lawn Green,8313,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 DVX (Red) 2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
