type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
MOJAVE 250 (Red) 1988,,Right Tank,1422,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Left Tank,1423,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Top Tank,1426,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Right Front Fender,1424,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Left Front Fender,1425,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Front Hood,1427,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Upper Right Shroud,1420,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Upper Left Shroud,1421,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Right Rear Fender,1430,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Left Rear Fender,1431,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 (Red) 1988,,Left Rear Fender,1431,Designer Added Icon 1,,1055.7250703860695,232.59517360559735,20,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
MOJAVE 250 (Red) 1988,,Right Rear Fender,1430,Designer Added Icon 1,,862.9309296139304,232.59517360559735,20,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 (Red) 1988,,Left Tank,1423,Designer Added Icon 1,,558.9884246956112,-251.63260326724537,2.592164961791223,28,5,Black,7310,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 (Red) 1988,,Left Tank,1423,Designer Added Icon 2,,257.86070539736556,584.1504543768649,14.749999999999982,9,6,Black,6981,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 (Red) 1988,,Right Tank,1422,Designer Added Icon 1,,1036.8435753043889,-251.63260326724537,2.592164961791223,-28,5,Black,7310,,,,,,,,,,,,,,,,,,,
