type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"400 DVX (Black & Green) 2004-2005,2007-2008",,Right Tank,816,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Left Tank,817,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Right Front Fender,818,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Left Front Fender,819,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Front Hood,815,Background,,0,0,1,0,4,White,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Front Hood,815,User Name,,380.51281585260534,435.50622729702053,,0,10,Black,,,,,,,,,,,,1,left,40,Bold Italic 06,1,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Front Hood,815,User Number,,373.35898311156313,521.2340451872949,,0,6,Black,,,,,,,,,,,,1,left,159,Bold Italic 06,1,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Front Hood,815,User Flag,,284.21869043220886,364.4626117587611,0.7999999999999999,0,9,,,,,,,,,,,,,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Right Rear Fender,820,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Left Rear Fender,821,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Left Rear Fender,821,Designer Added Icon 1,,630.1499035078294,435.38557487936083,13,-43,5,Lawn Green,8320,,,,,,,,,,,,,,,,,,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Right Rear Fender,820,Designer Added Icon 1,,614.7640964921706,435.38557487936083,13,43,5,Lawn Green,8320,,,,,,,,,,,,,,,,,1,,
"400 DVX (Black & Green) 2004-2005,2007-2008",,Left Tank,817,Designer Added Icon 1,,1923.367337103969,231.61593116516136,1.7737115437186506,0,5,Lawn Green,7155,,,,,,,,,,,,,,,,,,,
