type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 (Black) 2007,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Black) 2007,,Left Rear Fender,860,Designer Added Icon 1,,1099.9571227271015,216.7685479971967,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 (Black) 2007,,Right Rear Fender,859,Designer Added Icon 1,,1112.7318772728984,216.7685479971967,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 (Black) 2007,,Left Side Cover,866,Designer Added Icon 1,,656.3426219386174,19.988930760929062,7.749999999999999,6,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 (Black) 2007,,Left Side Cover,866,User Number,,794.7230354724519,222.6673142195757,,4,6,White,,,,,,,,,,,,1,left,181,Bold Italic 11,1,,,,
