type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Scrambler 500 2004-2005,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Front Hood,1169,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2004-2005,,Left Rear Fender,1167,Designer Added Icon 1,,1160.7739455619542,138.07152977097024,24.350000000000005,9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Scrambler 500 2004-2005,,Right Rear Fender,1166,Designer Added Icon 1,,1170.8370544380457,138.07152977097024,24.350000000000005,-9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2004-2005,,Left Side Cover,1161,Designer Added Icon 1,,644.4532131533726,-350.1553959242015,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Scrambler 500 2004-2005,,Left Side Cover,1161,User Number,,671.6519436334189,106.31025474092291,,0,6,White,,,,,,,,,,,,1,left,204,Bold Italic 11,1,,,,
Scrambler 500 2004-2005,,Right Side Cover,1160,Designer Added Icon 1,,541.2907868466273,-350.1553959242015,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
