type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Right Tank,1102,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Tank,1103,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Dashboard Cover,1105,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Right Front Fender,1106,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Front Fender,1107,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Front Hood,1104,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Right Rear Fender,1108,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Rear Fender,1109,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Rear Fender,1109,Designer Added Icon 1,,1196.9376630378933,328.24769331217755,24,-1,4,Black,8320,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Right Rear Fender,1108,Designer Added Icon 1,,1194.3573369621067,328.24769331217755,24,1,4,Black,8320,,,,,,,,,,,,,,,,,1,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Tank,1103,Designer Added Icon 1,,1384.675563028034,-406.69984995179215,4.4,48,5,Black,7310,,,,,,,,,,,,,,,,,1,,
BRUTE FORCE 750 NRA Outdoors 2008-2009,,Left Tank,1103,Designer Added Icon 2,,543.9125435935525,696.801613055965,18.256246158167187,29,6,Black,6981,,,,,,,,,,,,,,,,,1,,
