type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DS 650 2000-2001,,Right Tank,1271,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Left Tank,1272,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Right Front Fender,1025,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Left Front Fender,1026,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Rear Facing Right Front Fender,1267,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Rear Facing Left Front Fender,1266,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Front Hood,793,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Right Side Cover,795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Left Side Cover,794,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Right Rear Fender,1028,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Left Rear Fender,1029,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DS 650 2000-2001,,Left Rear Fender,1029,Designer Added Icon 1,,892.8535006637861,184.2769621689163,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,,,
DS 650 2000-2001,,Right Rear Fender,1028,Designer Added Icon 1,,960.748499336214,184.2769621689163,19,0,5,Yellow,8320,,,,,,,,,,,,,,,,,1,,
DS 650 2000-2001,,Left Side Cover,794,Designer Added Icon 1,,884.835540529344,-262.8198335460549,16,0,5,Yellow,6984,,,,,,,,,,,,,,,,,,,
